,text,favourite_count,retweet_count,created_at
0,I’m watching Fast 9. And a car got hit on the left tail end and flipped into the air……….. Ayo defund the fast and furious franchise please,0,0,2021-09-01 23:10:31
1,Fast and Furious 9 is one of the most ridiculous films I've ever seen 😂,1,0,2021-09-01 22:04:24
2,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 21:53:32
3,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 21:40:08
4,"Fast and Furious 9 is releasing from Today at @gvstudiocitytnj. Ticket Booking is going on at Theater Counter and Online at https://t.co/LCTYIZWFYQ
Screen : Shanthi 4K AC DTS, Shivaji 4K AC DTS
Language : Tamil 2D
#FastAndFurious9
#Theatersareback https://t.co/vJxgK5RksG",15,1,2021-09-01 21:35:03
5,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 21:04:56
6,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 20:28:56
7,"@TorturedAlex Depending on your need to recharge, I always find Gattaca soothing
Avoid Fast and Furious 9. Worst movie I have ever paid to see.",1,0,2021-09-01 20:22:29
8,Can anyone please tell me when will fast and furious 9 hindi release??,0,0,2021-09-01 19:58:41
9,natural light is giving us the not so subtle fast and furious 9 paid meme treatment rn,0,0,2021-09-01 19:07:35
10,"#VinDiesel 
 Advance booking for Fast and Furious 9 is Now Open 
BOOK YOUR TICKETS NOW -
 https://t.co/BprhjXXcBe

#PVR #FastAndFurious9   #Fast9 #fastsaga #F9 #UniversalPictures   #dom #advancebookings #paidpreview #fastandfurious #fastandfurious9 #fastandfurious7 #letty #han https://t.co/uan97pLaOf",1,0,2021-09-01 19:03:01
11,RT @xrtghost: Fast and furious 9 set coming soon https://t.co/8w3Lb49LkG,0,7,2021-09-01 18:53:28
12,just finished watching fast and furious 9 and i have bad criticism for it but i just gotta say that im attracted to john cena.,1,0,2021-09-01 18:29:33
13,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 18:24:55
14,@jukaisvu Fast and Furious 1'den 9'a kadar.,0,0,2021-09-01 18:10:46
15,"RT @jylauril: Holy moly, they did another fast and furious movie?! There's 9 total! I'm going to be so disappointed if they don't name the…",0,1,2021-09-01 17:57:57
16,Bruh - Fast and Furious 9 is trash.,1,0,2021-09-01 17:34:23
17,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 17:33:11
18,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 17:29:21
19,"RT @VikramIthape11: September month for others vs CMA Students

Others waiting for :
Money hist 👺
Lucifer
Fast and furious 9
Kota factory s…",0,1,2021-09-01 17:21:25
20,"@GerardOdongo @SamuelBagwel @samiekimberly26 @seralana2 @Haf_sah2 @mr___honey @n_bonas @callmeBrighto @namasole_ @IRONSIDES0 @Eddie_iroro I watched money heist from season 1 upto the previous one, I am saying it should not turn out like Fast and Furious 9",1,0,2021-09-01 17:11:10
21,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Shivamogga from tomorrow. #FastandFurious #FF9InKannada https://t.co/39IntRA9zR,0,9,2021-09-01 16:52:24
22,@MzwaneleManyi This movie failed more than Fast and the furious 9,1,0,2021-09-01 16:51:00
23,"RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Belagavi. #FF9InKannada
@INOXMovies https://t.co/Xayr4Gzs28",0,10,2021-09-01 16:46:32
24,"RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Belagavi. #FF9InKannada
@INOXMovies https://t.co/Xayr4Gzs28",0,10,2021-09-01 16:43:57
25,"RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Belagavi. #FF9InKannada
@INOXMovies https://t.co/Xayr4Gzs28",0,10,2021-09-01 16:42:10
26,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 16:19:22
27,"Also hitting the screens on #3September is #FastAndFurious9 aka #F9 or #Fast9

#VinDiesel #MichelleRodriguez #JustinLin #JohnCena

https://t.co/xrAfMPI8tb",2,0,2021-09-01 16:15:23
28,Still not over what a horrific film fast and the furious 9 is. Terrible movie. Zero out of ten.,3,0,2021-09-01 16:13:59
29,fast and furious 9 keren banget gila,0,0,2021-09-01 16:10:50
