,Unnamed: 0,text,favourite_count,retweet_count,created_at,len,Clean_text,Clean_text_length,sentiment,sentiment_analyser,compound_score,compound_score_sentiment
0,0,I’m watching Fast 9. And a car got hit on the left tail end and flipped into the air……….. Ayo defund the fast and furious franchise please,0,0,2021-09-01 23:10:31,138,watch fast left tail flip into defund fast furiou franchis pleas,64,"Sentiment(polarity=0.13333333333333333, subjectivity=0.39999999999999997)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1,1,Fast and Furious 9 is one of the most ridiculous films I've ever seen 😂,1,0,2021-09-01 22:04:24,71,fast furiou most ridicul film ever seen,39,"Sentiment(polarity=0.35, subjectivity=0.55)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
2,2,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 21:53:32,140,soul desir test drive better bodi like love benz thi your assign vessel must,76,"Sentiment(polarity=0.5, subjectivity=0.55)","{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.8625}",0.8625,Positive
3,4,"Fast and Furious 9 is releasing from Today at @gvstudiocitytnj. Ticket Booking is going on at Theater Counter and Online at https://t.co/LCTYIZWFYQ
Screen : Shanthi 4K AC DTS, Shivaji 4K AC DTS
Language : Tamil 2D
#FastAndFurious9
#Theatersareback https://t.co/vJxgK5RksG",15,1,2021-09-01 21:35:03,271,fast furiou releas from today ticket book go theater counter onlin http lctyizwfyq screen shanthi shivaji languag tamil #fastandfuri #theatersareback http vjxgk rksg,165,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
4,7,"@TorturedAlex Depending on your need to recharge, I always find Gattaca soothing
Avoid Fast and Furious 9. Worst movie I have ever paid to see.",1,0,2021-09-01 20:22:29,143,depend your need recharg alway find gattaca sooth avoid fast furiou worst movi have ever paid,93,"Sentiment(polarity=-0.4, subjectivity=0.8)","{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.743}",-0.743,Negative
5,8,Can anyone please tell me when will fast and furious 9 hindi release??,0,0,2021-09-01 19:58:41,70,anyon pleas tell when will fast furiou hindi releas,51,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
6,9,natural light is giving us the not so subtle fast and furious 9 paid meme treatment rn,0,0,2021-09-01 19:07:35,86,natur light give subtl fast furiou paid meme treatment,54,"Sentiment(polarity=0.30000000000000004, subjectivity=0.6499999999999999)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
7,10,"#VinDiesel 
 Advance booking for Fast and Furious 9 is Now Open 
BOOK YOUR TICKETS NOW -
 https://t.co/BprhjXXcBe

#PVR #FastAndFurious9   #Fast9 #fastsaga #F9 #UniversalPictures   #dom #advancebookings #paidpreview #fastandfurious #fastandfurious9 #fastandfurious7 #letty #han https://t.co/uan97pLaOf",1,0,2021-09-01 19:03:01,301,#vindiesel advanc book fast furiou open book your ticket http bprhjxxcbe #pvr #fastandfuri #fast #fastsaga #universalpictur #dom #advancebook #paidpreview #fastandfuri #fastandfuri #fastandfuri #letti #han http plaof,216,"Sentiment(polarity=0.13333333333333333, subjectivity=0.5666666666666668)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
8,11,RT @xrtghost: Fast and furious 9 set coming soon https://t.co/8w3Lb49LkG,0,7,2021-09-01 18:53:28,72,fast furiou come soon http,26,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
9,12,just finished watching fast and furious 9 and i have bad criticism for it but i just gotta say that im attracted to john cena.,1,0,2021-09-01 18:29:33,126,just finish watch fast furiou have critic just gotta that attract john cena,75,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.135, 'neu': 0.705, 'pos': 0.16, 'compound': 0.1027}",0.1027,Positive
10,14,@jukaisvu Fast and Furious 1'den 9'a kadar.,0,0,2021-09-01 18:10:46,43,fast furiou kadar,17,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
11,15,"RT @jylauril: Holy moly, they did another fast and furious movie?! There's 9 total! I'm going to be so disappointed if they don't name the…",0,1,2021-09-01 17:57:57,139,holi moli they anoth fast furiou movi there total go disappoint they name,73,"Sentiment(polarity=0.1, subjectivity=0.675)","{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.4549}",-0.4549,Negative
12,16,Bruh - Fast and Furious 9 is trash.,1,0,2021-09-01 17:34:23,35,bruh fast furiou trash,22,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
13,19,"RT @VikramIthape11: September month for others vs CMA Students

Others waiting for :
Money hist 👺
Lucifer
Fast and furious 9
Kota factory s…",0,1,2021-09-01 17:21:25,140,septemb month other student other wait money hist lucif fast furiou kota factori,80,"Sentiment(polarity=-0.016666666666666663, subjectivity=0.45)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
14,20,"@GerardOdongo @SamuelBagwel @samiekimberly26 @seralana2 @Haf_sah2 @mr___honey @n_bonas @callmeBrighto @namasole_ @IRONSIDES0 @Eddie_iroro I watched money heist from season 1 upto the previous one, I am saying it should not turn out like Fast and Furious 9",1,0,2021-09-01 17:11:10,255,watch money heist from season upto previou say should turn like fast furiou,75,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}",0.3612,Positive
15,21,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Shivamogga from tomorrow. #FastandFurious #FF9InKannada https://t.co/39IntRA9zR,0,9,2021-09-01 16:52:24,133,fast furiou kannada shivamogga from tomorrow #fastandfuri inkannada http intra,78,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
16,22,@MzwaneleManyi This movie failed more than Fast and the furious 9,1,0,2021-09-01 16:51:00,65,thi movi fail more than fast furiou,35,"Sentiment(polarity=0.06666666666666667, subjectivity=0.4666666666666666)","{'neg': 0.368, 'neu': 0.632, 'pos': 0.0, 'compound': -0.5423}",-0.5423,Negative
17,23,"RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Belagavi. #FF9InKannada
@INOXMovies https://t.co/Xayr4Gzs28",0,10,2021-09-01 16:46:32,113,fast furiou kannada belagavi inkannada http xayr,48,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
18,26,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 16:19:22,136,fast furiou kannada from tomorrow mysor inkannada #fast #fastandfuri http uxveu,79,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
19,27,"Also hitting the screens on #3September is #FastAndFurious9 aka #F9 or #Fast9

#VinDiesel #MichelleRodriguez #JustinLin #JohnCena

https://t.co/xrAfMPI8tb",2,0,2021-09-01 16:15:23,154,also hit screen septemb #fastandfuri #fast #vindiesel #michellerodriguez #justinlin #johncena http xrafmpi,106,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
20,28,Still not over what a horrific film fast and the furious 9 is. Terrible movie. Zero out of ten.,3,0,2021-09-01 16:13:59,95,still over what horrif film fast furiou terribl movi zero,57,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
21,29,fast and furious 9 keren banget gila,0,0,2021-09-01 16:10:50,36,fast furiou keren banget gila,29,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
22,33,RT @sh0w3d: I’m embarrassed to live in a world that’s allowed 9 fast and furious movies,0,422,2021-09-01 15:40:06,87,embarrass live world that allow fast furiou movi,48,"Sentiment(polarity=0.16818181818181818, subjectivity=0.55)","{'neg': 0.218, 'neu': 0.594, 'pos': 0.188, 'compound': -0.0772}",-0.0772,Negative
23,34,@RHPiper_ Yep I was actually amazed when he was done cuz i  wasn't paying attention to the process. Spent the time watching Fast &amp; furious 9 then black widow and talking shate. Lol,0,0,2021-09-01 15:28:23,184,actual amaz when done wasn pay attent process spent time watch fast furiou then black widow talk shate,102,"Sentiment(polarity=-0.016666666666666663, subjectivity=0.30833333333333335)","{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.1027}",-0.1027,Negative
24,36,"RT @UniversalIND: If Jakob’s got Cipher, Dom’s got his family. Gear up for the most furious face-off in #F9, releasing on September 3.
Get…",0,4,2021-09-01 15:03:16,139,jakob cipher famili gear most furiou face releas septemb,56,"Sentiment(polarity=0.5, subjectivity=0.5)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
25,38,Anytime I think about fast and furious 9 I just get angry all over again 😡,0,0,2021-09-01 14:58:44,74,anytim think about fast furiou just angri over again,52,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
26,39,rewatching fast and furious from 1-9 🥺❤️,0,0,2021-09-01 14:38:42,40,rewatch fast furiou from,24,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
27,43,"Get ready to witness the biggest blockbuster fast and furious 9 from Thursday Arasan cinemas A/C
 daily 4 shows booking at book my show https://t.co/yosSE6NAWi",11,0,2021-09-01 14:10:38,159,readi wit biggest blockbust fast furiou from thursday arasan cinema daili show book book show http yoss nawi,108,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
28,44,"Fast and furious 9 movie poster. 
#FastAndFurious9 #Matrix4 #MoviePlus https://t.co/9aHqDmebav",1,0,2021-09-01 13:49:09,94,fast furiou movi poster #fastandfuri #matrix #movieplu http ahqdmebav,69,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
29,45,"Fast and furious 9 without Dwayne Johnson in it, just seems odd",1,0,2021-09-01 13:24:47,63,fast furiou without dwayn johnson just seem,43,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
30,46,RT @JayamaruthiGobi: Fast and Furious 9 from tomorrow! Bookings to open soon on Ticketnew and Paytm soon. https://t.co/laZZ8FAWYU,0,4,2021-09-01 13:16:45,129,fast furiou from tomorrow book open soon ticketnew paytm soon http lazz fawyu,77,"Sentiment(polarity=0.1, subjectivity=0.55)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
31,50,@PizzaHutIN Mom Please order a Pizza @PizzaHutIN giving the free Dessert with it and Let's ready to watch it fast furious 9 Along Pizza Hut Hot and Cold Combination,0,0,2021-09-01 12:32:12,164,pleas order pizza give free dessert with readi watch fast furiou along pizza cold combin,88,"Sentiment(polarity=3.700743415417188e-17, subjectivity=0.7999999999999999)","{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.5106}",0.5106,Positive
32,51,🎥 Fast and (fucking) Furious 9,0,0,2021-09-01 12:25:17,30,fast fuck furiou,16,"Sentiment(polarity=-0.1, subjectivity=0.6)","{'neg': 0.636, 'neu': 0.364, 'pos': 0.0, 'compound': -0.5423}",-0.5423,Negative
33,53,This movie and Mission Impossible have the best car stunts than the Fast and Furious(7-9) https://t.co/QNvELOX3d0,5,0,2021-09-01 12:17:18,113,thi movi mission imposs have best stunt than fast furiou http qnvelox,69,"Sentiment(polarity=0.6, subjectivity=0.44999999999999996)","{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6369}",0.6369,Positive
34,54,"Here's a special message from #VinDiesel to all his fans out there.
Come experience the thrill on the big screen again with your family only at PVR CINEMAS
Advance booking for Fast and Furious 9 is Now Open
BOOK YOUR TICKETS NOW - https://t.co/OzicvOMIi9 https://t.co/n3adShVcTw",0,0,2021-09-01 12:10:10,278,here special messag from #vindiesel fan there come experi thrill screen again with your famili onli cinema advanc book fast furiou open book your ticket http ozicvomii http adshvctw,181,"Sentiment(polarity=0.18571428571428572, subjectivity=0.557142857142857)","{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.7579}",0.7579,Positive
35,55,"Here's a special message from #VinDiesel to all his fans out there.
Come experience the thrill on the big screen again with your family only at PVR CINEMAS
Advance booking for Fast and Furious 9 is Now Open
BOOK YOUR TICKETS NOW - https://t.co/RZv6aBI7Bs https://t.co/ThE9j81j0a",0,0,2021-09-01 12:08:58,278,here special messag from #vindiesel fan there come experi thrill screen again with your famili onli cinema advanc book fast furiou open book your ticket http http,162,"Sentiment(polarity=0.18571428571428572, subjectivity=0.557142857142857)","{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.7579}",0.7579,Positive
